ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
ALR000004879,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/20/2013,08/30/2013,
ALR000042473,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/14/2012,02/28/2013,01/14/2013
ALR000048629,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/14/2011,04/13/2011,04/11/2011
ALR000050948,AL,268.A,Land Disposal Restrictions: General,S  ,11/29/2012,03/05/2013,03/04/2013
ALR000000240,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,04/11/2013,06/26/2013,07/24/2013
ALD079109013,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,02/05/2013,02/27/2013,03/07/2013
ALD083742858,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/12/2012,02/21/2013,02/28/2013
ALD983180373,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,02/06/2013,02/06/2013,03/06/2013
ALR000004879,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/20/2013,10/08/2014,10/08/2014
ALR000049718,AL,279.C,Standards for Used Oil Generators,S  ,09/21/2011,03/21/2012,03/21/2012
ALR000000612,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,11/12/2015,11/23/2015,12/12/2015
ALD982121410,AL,279.E,Standards for Used Oil Transporter and Transfer Facilities,S  ,11/18/2014,04/23/2015,04/23/2015
ALD981023229,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/11/2015,05/21/2015,
ALD981023369,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/11/2015,05/21/2015,
ALD008161416,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/21/2012,09/21/2012,09/20/2012
ALR000047860,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/18/2012,09/18/2012,
ALR000012906,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/25/2012,06/28/2012,07/25/2012
ALD983167891,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,10/03/2012,10/04/2012,
ALD072099690,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,09/12/2012,10/26/2012,11/15/2012
ALR000047860,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,06/18/2012,09/18/2012,
ALD983179466,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,10/02/2012,12/13/2012,
ALD021257357,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/25/2015,06/08/2015,05/15/2015
ALR000005298,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/17/2012,07/17/2012,09/06/2012
ALR000049072,AL,268.A,Land Disposal Restrictions: General,E  ,03/11/2015,03/11/2015,
ALD031482037,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,06/05/2015,07/07/2015,07/06/2015
ALD983166653,AL,268.C,Land Disposal Restrictions: Prohibitions on Land Disposal,S  ,04/11/2012,12/14/2012,
ALR000054486,AL,279.C,Standards for Used Oil Generators,S  ,08/31/2015,09/08/2015,
ALR000034033,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,10/08/2015,10/12/2015,11/09/2015
ALR000046813,AL,279.C,Standards for Used Oil Generators,S  ,07/22/2013,07/31/2013,08/21/2013
ALR000008110,AL,262.A,Standards Applicable to Generators of HW: General,E  ,04/09/2013,06/26/2013,
ALD004029294,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,06/25/2013,10/09/2013,10/19/2013
ALR000001131,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,08/25/2015,09/01/2015,09/01/2015
AL3640090004,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,07/18/2013,08/07/2013,
ALD058221326,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,09/12/2013,11/26/2013,
ALD031612732,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,06/20/2013,07/03/2013,07/22/2013
ALD983191297,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,11/21/2013,01/06/2014,
ALD000622464,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,E  ,04/15/2014,08/18/2014,
ALD982118176,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,09/09/2014,09/22/2014,
ALR000063016,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/05/2019,,
ALR000050013,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/14/2014,05/06/2014,05/21/2014
ALR000007039,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/18/2014,12/17/2014,
ALD980844054,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/21/2014,08/21/2014,
ALR000058834,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/09/2015,06/15/2015,07/09/2015
ALD004001715,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/09/2000,01/10/2001,08/04/2000
ALR000014373,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/06/2001,07/29/2002,
ALD077640449,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,11/09/2000,02/14/2001,03/02/2001
ALD008161861,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/03/2000,10/23/2000,
ALR000026039,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/18/2002,10/15/2002,
ALN960605001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/05/1996,10/08/1996,08/25/1996
ALN970813001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/13/1997,10/31/1997,10/31/1997
ALN941019000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/19/1994,03/21/1995,
ALD982162059,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/20/2007,01/22/2008,12/21/2007
AL0000063693,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/23/1994,05/12/1994,05/21/1994
ALR000007203,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/12/1997,02/12/1997,03/14/1997
ALD983167933,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/28/1995,05/30/1995,06/07/1995
AL0000997205,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,05/13/1998,05/29/1998,06/15/1998
ALR000012401,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/31/1999,12/15/1999,12/15/1999
ALD093177244,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/15/1992,02/09/1993,02/15/1993
ALD093177244,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/15/1992,01/20/1993,02/15/1993
ALD087638060,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,05/31/1996,07/10/1996,07/17/1996
AL2690320435,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/18/1990,02/18/1991,02/18/1991
AL0000107748,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/27/1993,03/21/1995,
ALD983192865,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/11/1997,11/24/1997,12/11/1997
ALD983172412,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/20/1992,04/06/1992,04/19/1992
ALD983179219,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/30/1991,02/19/1992,05/06/1991
ALD983179219,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,01/30/1991,02/03/1992,
ALD983179219,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/30/1991,02/03/1992,
ALD983179219,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/03/1993,09/06/1995,
ALD983168220,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/07/1998,04/21/1998,05/13/1998
ALR000011148,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/18/1998,01/25/1999,01/04/1999
ALR000002212,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/17/1995,10/17/1995,10/20/1995
ALD983185422,AL,263.C,Standards Applicable to Transporters of HW: HW Discharges,S  ,12/18/1992,01/21/1993,
AL9210090040,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/08/1998,05/20/1998,06/08/1998
AL6210020776,AL,264.A,Standards for Owners and Operators of HW TSDs: General,E  ,05/23/1988,11/21/1988,
ALD982167678,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/07/1990,01/11/1991,12/06/1990
ALR000007070,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,01/07/1997,03/15/1997,
ALD983166653,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/09/1999,10/07/1999,
ALD983184425,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,07/21/1999,08/31/1999,08/26/1999
ALD983182031,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/23/1991,02/17/1992,02/17/1992
AL0000881763,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/17/1994,10/28/1994,10/14/1994
ALD983193418,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,01/30/1996,04/06/1996,04/13/1996
ALD983194432,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,06/04/1993,08/25/1993,07/26/1993
ALD983192402,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/18/1996,08/16/1996,08/18/1996
ALR000001859,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/08/1995,06/28/1995,
ALD982167736,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/06/1993,02/11/1993,03/02/1993
AL7210020742,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,08/02/1993,11/29/1993,
ALD008161176,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,05/24/1994,09/08/1994,08/21/1994
ALD983193319,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,03/18/1993,03/14/1996,
ALR000006502,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/26/1997,05/09/1997,04/25/1997
ALR000033100,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/20/2007,04/07/2008,
ALD021257357,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,07/09/1992,02/03/1993,
AL0570024182,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/10/1996,12/10/1996,01/10/1997
ALD003397478,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/04/1990,03/04/1996,06/30/1991
ALD004019485,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,03/01/1996,04/26/1996,04/26/1996
AL6210020776,AL,264.A,Standards for Owners and Operators of HW TSDs: General,E  ,12/23/1989,11/13/1990,03/05/1990
ALR000011619,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/19/2000,04/03/2000,04/08/2000
AL1800013863,AL,264.A,Standards for Owners and Operators of HW TSDs: General,E  ,01/29/1986,04/21/1987,02/24/1986
ALR000006908,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/11/1996,05/08/1997,01/11/1997
ALD983191016,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/01/1993,02/10/1995,09/12/1993
ALD983188293,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/16/1994,03/14/1995,03/14/1995
ALD983185729,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/27/1994,08/15/1994,08/10/1994
AL3640090004,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/01/1995,05/03/1995,05/20/1995
ALD983171844,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/26/1997,03/06/1998,
AL3640090004,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,03/27/1991,05/06/1992,
ALD000737478,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/30/1992,07/07/1992,07/11/1992
ALD000770214,AL,262.A,Standards Applicable to Generators of HW: General,E  ,06/27/1984,12/18/1990,
ALD008150617,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/09/1993,04/22/1993,04/23/1993
ALD982156366,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/03/1996,05/20/1996,05/30/1996
ALD000622464,AL,264.BB,Standards for Owners and Operators of HW TSDs: Air Emission Standards for Equipm,S  ,02/13/2007,04/03/2008,06/19/2008
ALD034046730,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,E  ,08/17/1984,11/17/1986,07/19/1985
ALD034046730,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,E  ,08/17/1984,11/17/1986,
ALD000622464,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,05/12/1994,07/25/1994,07/15/1994
ALD000622464,AL,264.N,Standards for Owners and Operators of HW TSDs: Landfills RCRAInfo V3 Violation,S  ,10/20/1994,03/10/1995,01/20/1995
ALD044075109,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,06/20/1996,09/18/1996,09/11/1996
ALD041906173,AL,264.M,Standards for Owners and Operators of HW TSDs: Land Treatment,S  ,12/30/1991,05/27/1992,
ALD067111450,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,09/12/1991,11/04/1991,11/12/1991
ALD095688875,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/02/1992,06/15/1992,06/15/1992
ALD031482037,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/25/1998,06/22/1998,03/25/1998
ALD071937890,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/17/1994,06/16/1994,07/11/1994
ALR000000968,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/27/1995,06/20/1995,05/22/1995
ALR000001040,AL,263.A,Standards Applicable to Transporters of HW: General,S  ,05/14/1996,08/01/1996,07/24/1996
ALD102083185,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/24/1994,02/15/1995,11/14/1994
ALD982139826,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/14/1989,10/19/1989,09/02/1989
ALD982124612,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/09/1993,11/16/1993,11/19/1993
ALD981923527,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/09/1994,09/06/1994,
ALD982082448,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,11/23/1998,07/28/1999,
ALD983167545,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/09/1991,11/20/1991,12/08/1991
ALR000008649,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,10/08/1997,12/14/1998,
ALD040653636,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,08/15/1990,12/12/1990,11/06/1990
ALD983193459,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/10/1998,01/27/2000,02/22/1999
ALD021257951,AL,264.N,Standards for Owners and Operators of HW TSDs: Landfills RCRAInfo V3 Violation,S  ,02/13/1997,04/10/1997,04/11/1997
ALD031497423,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/09/1997,01/09/1998,01/09/1998
ALD033354069,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/12/1995,06/13/1995,09/15/1995
ALD983194846,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/18/1998,05/04/1998,05/04/1998
ALD981756968,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,03/17/1998,06/12/1998,04/20/1998
ALD981757669,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/11/1994,10/06/1994,10/14/1994
ALD982140360,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/16/1994,04/18/1994,05/06/1994
ALD094476793,AL,264.A,Standards for Owners and Operators of HW TSDs: General,E  ,09/05/1985,12/13/1988,
ALD094476793,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,03/23/1992,04/06/1992,05/06/1992
ALR000001040,AL,263.A,Standards Applicable to Transporters of HW: General,S  ,02/03/1998,02/24/1998,02/03/1998
ALD093179315,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,08/30/1989,12/12/1989,10/22/1989
ALD981756901,AL,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Pr,S  ,01/22/1998,04/29/1998,02/23/1998
ALD981754997,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/28/1995,06/15/1995,06/19/1995
ALD131159386,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,01/17/1997,02/25/1997,02/18/1997
ALD981020894,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,E  ,06/09/1998,03/04/1999,
ALD072111073,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/15/1987,01/14/1988,12/13/1987
ALD077647691,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/26/2018,,
ALD981478662,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/30/1998,04/07/1999,
ALD155638570,AL,268.A,Land Disposal Restrictions: General,S  ,09/09/1992,11/17/1992,11/14/1992
ALD981474232,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/12/1989,04/02/1991,10/02/1989
ALD981474232,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,04/02/1991,06/16/1991,06/16/1991
ALD002904506,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,S  ,04/26/1991,03/06/1996,
ALD102066636,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/29/1986,04/22/1988,
AL7210020742,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,09/16/1994,11/25/1996,
ALD981750086,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/30/1992,06/18/1992,06/29/1992
ALD114301534,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/21/1997,11/20/1997,11/24/1997
ALD982078917,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/27/1991,07/27/1992,
ALD981024987,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/22/1995,08/07/1995,08/17/1995
ALD000771949,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/01/1997,10/30/1997,10/31/1997
ALD008163388,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,09/29/1987,06/02/1988,12/13/1987
ALD094476793,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/15/1996,11/21/1996,12/15/1996
ALD004017968,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/21/1997,01/21/1997,02/27/1997
ALD004401717,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/19/1998,11/20/1998,12/20/1998
ALD004017869,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,S  ,04/10/1987,04/04/1991,04/20/1987
ALD004017869,AL,FEA,Violation of a formal enforcement agreement or order. (3008(a) or 3013),S  ,08/03/1987,12/30/1988,12/30/1988
ALD002982858,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/09/1998,03/09/1999,
ALD981751431,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/28/1993,02/25/1994,01/28/1994
ALD000772137,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/08/1999,12/01/1999,12/05/1999
ALD118040526,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/30/1998,12/30/1998,01/30/1999
ALD981919368,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/14/1998,02/04/1999,
ALD981919368,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,10/13/1999,12/08/1999,
ALD981015555,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,12/08/1998,01/25/1999,01/09/1999
ALD094483591,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/04/1996,06/05/1996,05/27/1996
ALD981868466,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,03/12/1992,04/17/1992,04/22/1992
ALD982134611,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/18/1994,06/08/1994,05/22/1994
ALD981860398,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/28/1994,03/16/1994,03/28/1994
ALD981860539,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/09/1992,02/25/1993,01/11/1993
ALD981860539,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/13/1996,08/10/1996,08/18/1996
ALD981756968,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/29/1996,06/20/1996,06/23/1996
ALD047158266,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,10/06/1992,10/15/1992,11/14/1992
ALD053367553,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/07/1998,02/05/1998,02/06/1998
ALD067119966,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,09/24/1992,01/19/1993,11/16/1992
ALD031506702,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/28/1996,07/24/1996,07/29/2996
ALD031609126,AL,268.A,Land Disposal Restrictions: General,S  ,09/12/1991,09/12/1991,09/12/1991
ALD058221326,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/30/1993,10/01/1993,11/24/1993
ALD084956911,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,04/29/1998,06/02/1998,05/29/1998
ALD052682762,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/02/1990,01/28/1991,
ALD052682762,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,03/10/1997,01/27/1998,04/22/1997
ALD058221326,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,E  ,05/15/1985,12/11/1985,
ALD000622464,AL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping, a",S  ,01/29/1999,08/31/1999,08/15/1999
ALD044889624,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/20/1987,12/03/1990,10/09/1987
ALD020852422,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/08/1997,01/08/1997,02/08/1997
ALD021257951,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,S  ,02/15/1998,12/11/1998,
ALD070513767,AL,268.A,Land Disposal Restrictions: General,S  ,02/02/1995,12/05/1995,04/23/1995
ALD067111450,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,12/16/1987,05/10/1989,
ALD054571278,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,E  ,10/17/1985,06/14/1989,06/29/1989
ALD004003620,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/15/1998,11/13/1998,11/15/1998
ALD001221902,AL,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Pr,S  ,05/21/1991,07/22/1991,07/22/1991
ALD001221902,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/21/1991,07/22/1991,07/22/1991
ALD009829102,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/06/1993,02/01/1994,01/30/9494
ALD034050187,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,10/26/1999,11/23/1999,11/26/1999
ALD033354069,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,S  ,01/26/1996,06/05/1996,
ALD079109013,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/10/1989,01/17/1990,01/28/1990
ALD058223371,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,11/12/1995,05/27/1997,
ALD004009320,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,E  ,04/01/1985,07/15/1985,
ALD004009320,AL,262.A,Standards Applicable to Generators of HW: General,S  ,09/21/1993,11/24/1993,11/05/1993
ALD004003448,AL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping, a",S  ,03/01/1996,05/01/1996,04/26/1996
ALD004000998,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/05/1993,03/02/1994,03/17/1994
ALD000827154,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,05/21/1990,06/28/1990,06/28/1990
ALD982097230,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,05/03/1989,07/03/1989,08/25/1989
ALD981751373,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/08/1995,05/04/1995,05/03/1995
ALD981469992,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/15/1988,04/06/1989,04/06/1989
ALD004000790,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,E  ,11/12/1987,08/11/1988,02/02/1988
ALD139659452,AL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping, a",S  ,03/01/1996,04/26/1996,04/26/1996
ALD098845183,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/09/1994,05/10/1994,
ALD981027097,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/17/1993,06/03/1993,04/09/1993
ALD981026677,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/04/1999,05/21/1999,06/04/1999
ALD981026677,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,05/04/1999,05/21/1999,06/04/1999
ALD047158266,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,05/22/1990,06/30/1990,06/30/1990
ALD031487085,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/16/1992,12/16/1992,
ALD046481032,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,E  ,01/29/1987,07/15/1993,
ALD070513767,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,03/27/1998,09/27/1999,
ALD070513767,AL,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,03/27/1998,09/27/1999,
