ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
ALR000031062,HUNTSVILLE AG CHEM COLLECTION MSE ENVTL,AL,------,Other,2107 HOBBS ISLAND RD,HUNTSVILLE,AL,35803,34.73,-86.59,,N  ,-----,------         
ALR000028944,AL DEPT OF CORRECTIONS - EASTERLING,AL,------,VSQG,200 WALLACE DRIVE,CLIO,AL,36017,,,3,N  ,H----,------         
ALR000035857,CHEROKEE COUNTY HIGH SCHOOL,AL,------,VSQG,910 WARRIOR DRIVE,CENTRE,AL,35960,,,3,N  ,H----,------         
ALR000029561,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,------,VSQG,1675 CHEROKEE RD,ALEXANDER CITY,AL,35011,,,3,N  ,H----,------         
ALR000015859,MEI,AL,------,Other,2300 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,,,N  ,N  ,-----,------         
ALR000029314,BOBBY HOWARD,AL,------,Other,1787 BOOGER HOLLOW ROAD,DADEVILLE,AL,36853,,,N  ,N  ,-----,------         
ALR000029629,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,AL,------,VSQG,2602 COLLEGE DRIVE,PHENIX CITY,AL,36869,,,3,N  ,H----,------         
ALR000029587,VIRGINIA TECHNICAL COLLEGE,AL,------,VSQG,2790 PELHAM PARKWAY,PELHAM,AL,35124,,,3,N  ,H----,------         
ALR000037556,JUDSON COLLEGE,AL,------,VSQG,302 BIBB STREET,MARION,AL,36756,,,3,N  ,H----,------         
ALR000034991,WOODVILLE HIGH SCHOOL,AL,------,VSQG,290 CO ROAD 63,WOODVILLE,AL,35776,,,3,N  ,H----,------         
ALR000035006,PAINT ROCK VALLEY HIGH SCHOOL,AL,------,VSQG,51 COUNTY ROAD 3,PRINCETON,AL,35766,,,3,N  ,H----,------         
ALD983168212,BROOKLEY FURNITURE COMPANY,AL,------,SQG,1515 16TH STREET CIRCLE,MOBILE,AL,36615,30.6311,-88.0688,2,N  ,H----,------         
ALD078960796,TOM WILLIAMS BODY SHOP,AL,------,Other,401 20TH STREET SOUTH,BIRMINGHAM,AL,35233,,,,N  ,-----,------         
AL0000136549,WILLIAMS CADILLAC BODY SHOP,AL,------,Other,325 SOUTH 20TH STREET,BIRMINGHAM,AL,35233,33.509502,-86.8023,,N  ,-----,------         
ALR000022202,PSI REPAIR SERVICES INC,AL,------,Other,501 LITTLE ROCK AVENUE,SHEFFIELD,AL,35660,,,,N  ,-----,------         
ALR000035303,ENSLEY ALTERNATIVE HIGH SCHOOL,AL,------,VSQG,2301 AVENUE J ENSLEY,BIRMINGHAM,AL,35222,,,3,N  ,H----,------         
ALR000035618,THOMASVILLE INFIRMARY,AL,------,VSQG,33700 HWY 43,THOMASVILLE,AL,36784,,,3,N  ,H----,------         
ALD981477029,JACK'S CLEANERS,AL,------,VSQG,310 6TH STREET SOUTH,CLANTON,AL,35045,,,3,N  ,H----,------         
ALR000012922,PACCAR LEASING COMPANY,AL,------,Other,116 EARTH GRAINS WAY,FORT PAYNE,AL,35967,,,,N  ,-----,------         
ALR000010710,US $2.19 CLEANERS,AL,------,SQG,303 BELTLINE ROAD SW SUITE F,DECATUR,AL,35603,34.33393,-86.5944,2,N  ,H----,------         
ALR000029652,LURLEEN B WALLACE COMMUNITY COLLEGE,AL,------,VSQG,750 GREENVILLE BY-PASS,GREENVILLE,AL,36037,,,3,N  ,H----,------         
ALD000830869,WESTPOINT STEVENS INC ENG BLDG,AL,------,Other,2200 35TH PLACE,VALLEY,AL,36854,32.836667,-85.178333,N  ,N  ,-----,------         
ALD981748205,MAYFIELD CLEANERS,AL,------,Other,621 MONTGOMERY HWY,BIRMINGHAM,AL,35216,33.448481,-86.789584,,N  ,-----,------         
ALR000035667,REELTOWN HIGH SCHOOL,AL,------,VSQG,4085 AL HIGHWAY 120,NOTASULGA,AL,36866,,,3,N  ,H----,------         
ALR000029595,SHELTON STATE COMM COLLEGE (CA FRED),AL,------,VSQG,3401 MARTIN LUTHER KING BLVD,TUSCALOOSA,AL,35401,,,3,N  ,H----,------         
ALR000021188,AUTOZONE #2397,AL,------,Other,1305 11TH AVE,HALEYVILLE,AL,35565,,,,N  ,-----,------         
ALR000021220,AUTOZONE #393,AL,------,Other,4660 MCCLELLAN,ANNISTON,AL,36206,,,,N  ,-----,------         
ALD983168139,FEDERAL EXPRESS CORPORATION,AL,------,Other,3810 FIRST AVE N,BIRMINGHAM,AL,35222,33.526134,-86.780635,,N  ,-----,------         
ALR000029496,HORNADY TRANSPORTATION LLC MOBILE TRMNL,AL,------,Other,3425 ANTON STREET,WHISTLER,AL,36612,,,N  ,N  ,-----,------         
ALR000035071,IDER HIGH SCHOOL,AL,------,VSQG,1064 CRABAPPLE LANE,IDER,AL,35981,,,3,N  ,H----,------         
ALR000035485,A.L. JOHNSON HIGH SCHOOL,AL,------,VSQG,201 COATS AVENUE,THOMASTON,AL,36783,,,3,N  ,H----,------         
ALD983183070,HAYNES AUTO & TRUCK REPAIR INC,AL,------,VSQG,1302 FOURTH AVENUE SE,DECATUR,AL,35601-4202,34.3508,-86.5857,3,N  ,H----,------         
ALR000035477,JOHN ESSEX HIGH SCHOOL,AL,------,VSQG,70 HORNET DRIVE,DEMOPOLIS,AL,36732,,,3,N  ,H----,------         
ALR000028704,CHILD'S MUFFLER CENTERS INC,AL,------,Other,4021 NORMAN BRIDGE ROAD,MONTGOMERY,AL,36105,,,,N  ,-----,------         
ALD983180050,PRICE AUTO SALES INC,AL,------,Other,1755 BANKHEAD HWY,WINFIELD,AL,35594-1528,33.933056,-87.7875,,N  ,-----,------         
ALR000035360,GREENSBORO EAST HIGH SCHOOL,AL,------,VSQG,620 CARVER STREET,GREENSBORO,AL,36744,,,3,N  ,H----,------         
ALR000034736,SECTION HIGH SCHOOL,AL,------,VSQG,141 AL HWY 71,SECTION,AL,35771,,,3,N  ,H----,------         
ALR000034447,DABNEY'S PARTS & SALVAGE,AL,------,Other,77 DABNEY ROAD,DOTHAN,AL,36301,,,,N  ,-----,------         
ALR000043877,K&M TRANSMISSION,AL,------,Other,317 FIFTH AVENUE,MOBILE,AL,36608,30.703041,-88.228813,N  ,N  ,-----,------         
ALR000023390,SOUTH ALABAMA UTILITIES,AL,------,Other,19151 SOUTH MAIN STREET,CITRONELLE,AL,36522-0428,,,N  ,N  ,-----,------         
ALR000034645,ZION CHAPEL HIGH SCHOOL,AL,------,VSQG,29256 HIGHWAY 87,JACK,AL,36346,,,3,N  ,H----,------         
ALR000036202,VIGOR HIGH SCHOOL,AL,------,VSQG,913 NORTH WILSON AVENUE,PRICHARD,AL,36610,,,3,N  ,H----,------         
ALR000029645,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,------,VSQG,750 ROBERTS ST,VALLEY,AL,36276,,,3,N  ,H----,------         
ALR000035626,J&C TRUCK DRIVING SCHOOL,AL,------,Other,5018 US HWY 80W,OPELIKA,AL,36804,,,,N  ,-----,------         
ALR000028951,AL DEPT OF CORRECTIONS - VENTRESS,AL,------,VSQG,379 HWY 239 N,CLAYTON,AL,36016,,,3,N  ,H----,------         
ALR000037796,BELLSOUTH MANHOLE,AL,------,Other,260 CARE DRIVE,ANNISTON,AL,36203,,,,N  ,-----,------         
ALR000029041,MR GRIMSLEY,AL,------,Other,303 BLAND AVENUE,ABBEVILLE,AL,36310-2301,,,N  ,N  ,-----,------         
ALR000029991,BARNES AUTOMOTIVE SERVICE,AL,------,Other,204 OPELIKA ROAD,AUBURN,AL,36830,32.612,-85.479,,N  ,-----,------         
ALR000029215,BAILEY-PVS OXIDES-DECATUR PLANT,AL,------,VSQG,3402 PROCESS DRIVE NW,DECATUR,AL,35601,,,3,N  ,H----,------         
ALR000007583,OLD RAINSVILLE CHURCH PEW COMPANY,AL,------,Other,RAINBOW AVENUE,RAINSVILLE,AL,35986,,,,N  ,-----,------         
ALD983167610,MCPHILLIPS MFG CO INC,AL,------,VSQG,301 YEEND STREET,MOBILE,AL,36603-1904,30.665394,-88.040877,3,N  ,H----,------         
ALD031494404,TOM WILLIAMS CADILLAC,AL,------,Other,320 20TH STREET SOUTH,BIRMINGHAM,AL,35233,33.509502,-86.8023,,N  ,-----,------         
ALR000020891,AUTOZONE #376,AL,------,Other,222 HWY 31 NW,HARTSELLE,AL,35640,,,,N  ,-----,------         
ALR000024083,SWEET SUE KITCHENS,AL,------,VSQG,106 SWEET SUE DRIVE,ATHENS,AL,35611,,,3,N  ,H----,------         
ALR000035204,WINTERBORO HIGH SCHOOL,AL,------,VSQG,22601 AL HIGHWAY 21,ALPINE,AL,35014,,,3,N  ,H----,------         
ALR000010207,HOUSTON WOOD PRODUCTS INC PLANT #2,AL,------,VSQG,1700 HELICAN ROAD,ARLEY,AL,35541,34.080556,-87.187222,3,N  ,H----,------         
ALR000030064,AMERICAN ENVIRONMENTAL INC,AL,------,Other,5100-B HWY 43 SOUTH,SATSUMA,AL,36572,30.8375,-87.9822,,N  ,-----,------         
ALR000011767,CONSOLIDATED PUBLISHING,AL,------,Other,#4 LASHLEY AVENUE,TALLADEGA,AL,35160,,,,N  ,-----,------         
ALR000035352,SUNSHINE SCHOOL,AL,------,VSQG,3125 COUNTY ROAD 10,NEWBERN,AL,36765,,,3,N  ,H----,------         
ALR000035345,FLORALA HIGH,AL,------,VSQG,22144 BEGONIA STREET,FLORALA,AL,36442,,,3,N  ,H----,------         
ALR000035378,AKRON COMMUNITY SCHOOL EAST,AL,------,VSQG,141 COLLEGE S,AKRON,AL,35441,,,3,N  ,H----,------         
ALR000035287,APPALACHIAN SCHOOL,AL,------,VSQG,350 COUNTY ROAD 12,ONEONTA,AL,35121,,,3,N  ,H----,------         
ALR000035592,MILLRY HIGH SCHOOL,AL,------,VSQG,J WOOD ROAD,MILLRY,AL,36558,,,3,N  ,H----,------         
ALD983177106,STS FILING PRODUCTS INC,AL,------,Other,1100 CHANDLER STREET,MONTGOMERY,AL,36104,32.393388,-86.311173,,N  ,-----,------         
ALR000015750,INTERNATIONAL PAPER,AL,------,VSQG,368 TECHNOLOGY DRIVE,DOTHAN,AL,36303,,,3,N  ,H----,------         
ALR000035410,J.U. BLACKSHER HIGH SCHOOL,AL,------,VSQG,15933 HIGHWAY 21 SOUTH,URIAH,AL,36480,,,3,N  ,H----,------         
ALR000032334,TVA COURTLAND 46-KV SUBSTATION,AL,------,Other,11619 JACKSON STREET,COURTLAND,AL,35618,,,,N  ,-----,------         
ALR000035675,LOACHAPOKA HIGH SCHOOL,AL,------,VSQG,685 LEE ROAD 61,LOACHAPOKA,AL,36865,,,3,N  ,H----,------         
ALR000035451,GREENSBORO WEST HIGH SCHOOL,AL,------,VSQG,1901 SOUTH STREET,GREENSBORO,AL,36744,,,3,N  ,H----,------         
ALR000035220,TALLADEGA COUNTY CENTRAL HIGH SCHOOL,AL,------,VSQG,5104 HOWELL COVE ROAD,TALLADEGA,AL,35160,,,3,N  ,H----,------         
ALR000026567,PHOENIX BIOTECHNOLOGIES INC,AL,------,Other,1000 MERIDIAN STREET,HUNTSVILLE,AL,35801,,,,N  ,-----,------         
ALR000034710,CHOCTAW COUNTY HIGH,AL,------,Other,277 TOM ORR DRIVE,BUTLER,AL,36904,,,,N  ,-----,------         
ALR000035170,COTTONWOOD HIGH SCHOOL,AL,------,VSQG,663 HOUSTON STREET,COTTONWOOD,AL,36330,,,3,N  ,H----,------         
ALR000035402,FRISCO CITY HIGH SCHOOL,AL,------,VSQG,200 SCHOOL STREET,FRISCO CITY,AL,36445,,,3,N  ,H----,------         
ALD004547550,CROWN AUTOMOBILE CO INC,AL,------,Other,407 22ND STREET SOUTH,BIRMINGHAM,AL,35233,33.510062,-86.798972,,N  ,-----,------         
ALR000035931,TRUSSVILLE MAZDA BODY SHOP,AL,------,VSQG,8981 ROEBUCK BLVD SOUTH,BIRMINGHAM,AL,35206,,,3,N  ,H----,------         
ALD982133001,RAVEN INDUSTRIAL INC,AL,------,Other,709 RAILROAD AVE,ALBERTVILLE,AL,35950,,,,N  ,-----,------         
ALD982079568,THE EARTHGRAINS COMPANY DIVERSIFIED PROD,AL,------,SQG,4811 GAULT AVENUE NORTH,FORT PAYNE,AL,35967,34.824056,-85.995556,2,N  ,H----,------         
ALR000021378,AUTOZONE #62,AL,------,Other,30 S QUINTARD AVE,ANNISTON,AL,36201,,,,N  ,-----,------         
ALR000021436,AUTOZONE #164,AL,------,Other,3010 SPRINGHILL AVE,MOBILE,AL,36607,,,,N  ,-----,------         
ALR000034678,LEROY HIGH SCHOOL,AL,------,VSQG,HWY 43,LEROY,AL,36548,,,3,N  ,H----,------         
ALR000007559,MIKE'S WASTE OIL SERVICE,AL,------,Other,13488 GARNER STREET,COTTONDALE,AL,35453,33.247778,-87.405556,,N  ,-----,------         
ALR000035436,EXCEL SCHOOL,AL,------,VSQG,3010 HIGHWAY 136,WEST EXCEL,AL,36439,,,3,N  ,H----,------         
ALR000008839,JKM MANUFACTURING INC,AL,------,VSQG,920 PINE AVENUE,EUFAULA,AL,36027,,,3,N  ,H----,------         
ALR000035535,FRUITDALE HIGH SCHOOL,AL,------,VSQG,RAY COAKER ROAD,FRUITDALE,AL,36539,,,3,N  ,H----,------         
ALD983174038,FAMILY LINCOLN-MERCURY INC,AL,------,Other,4100 JACKSON HIGHWAY,SHEFFIELD,AL,35660,34.772131,-87.669307,,N  ,-----,------         
ALR000028365,POLYMX INC,AL,------,Other,1000 MERIDIAN STREET STE 1,HUNTSVILLE,AL,35801,,,,N  ,-----,------         
ALR000035329,CALERA HIGH SCHOOL,AL,------,VSQG,8454 HIGHWAY 31 S.,CALERA,AL,35040,,,3,N  ,H----,------         
ALR000036251,BRYANT HIGH SCHOOL,AL,------,VSQG,14001 HURRICANE ROAD,IRVINGTON,AL,36544,,,3,N  ,H----,------         
ALR000020750,AUTOZONE #2317,AL,------,Other,724 7TH ST S,CLANTON,AL,35045,,,,N  ,-----,------         
ALR000020578,AUTOZONE #53,AL,------,Other,3601 GOVERNORS DRIVE,HUNTSVILLE,AL,35805,,,,N  ,-----,------         
ALR000021485,AUTOZONE #15,AL,------,Other,807 SE JEFFERSON,ATHENS,AL,35611,,,,N  ,-----,------         
ALR000020644,AUTOZONE #2314,AL,------,Other,3942 ST STEPHEN,MOBILE,AL,36612,,,,N  ,-----,------         
ALR000034330,SEARCY HOSPITAL,AL,------,VSQG,725 E COY SMITH HWY,MT VERNON,AL,36560,,,3,N  ,H----,------         
ALR000003491,WORLDWIDE MARINE,AL,------,Other,7611 LAKE RD S,MOBILE,AL,36605,,,,N  ,-----,------         
ALR000025296,TOM WILLIAMS LEXUS,AL,------,Other,300 SOUTH 22ND STREET,BIRMINGHAM,AL,35233-2209,,,,N  ,-----,------         
ALD983190695,SMITH SERVICES OF AL INC,AL,------,Other,701 BILL MYLES DRIVE WEST,SARALAND,AL,36571-3301,33.3109,-86.4524,,N  ,-----,------         
ALR000034744,PISGAH HIGH SCHOOL,AL,------,VSQG,60 METCALF STREET,PISGAH,AL,35756,,,3,N  ,H----,------         
ALR000035121,CEDAR BLUFF HIGH SCHOOL,AL,------,VSQG,3655 OLD HWY 9,CEDAR BLUFF,AL,35959,,,3,N  ,H----,------         
ALR000034199,MSE ENVIRONMENTAL HEADLAND AG CHEM,AL,------,Other,265 EAST ALABAMA HWY 134,HEADLAND,AL,36345,31.000004,-85.000003,,N  ,-----,------         
ALD983192477,SOUTHEASTERN PRESS INC,AL,------,Other,258 GLENWOOD STREET,MOBILE,AL,36606,30.678349,-88.090566,,N  ,-----,------         
ALD982124562,ROY BRIDGES CO.,AL,------,Other,400 SOUTH 17TH ST.,BIRMINGHAM,AL,35233,33.506907,-86.806136,,N  ,-----,------         
ALR000005645,MOBILE POLICE PISTOL RANGE,AL,------,Other,MYLAND AVENUE,MOBILE,AL,36608,,,,N  ,-----,------         
ALD982098733,WATKINS CLEANERS INC,AL,------,VSQG,1484 MONTGOMERY HWY,VESTAVIA HILLS,AL,35216,33.415013,-86.804109,3,N  ,H----,------         
ALD980600654,SOUTHERN FOUNDRY RESINS INC,AL,------,VSQG,16 BELCHER DRIVE,PELHAM,AL,35124,33.323539,-86.795274,3,N  ,H----,------         
ALR000000018,JANSON SEALS AND SLEEVES,AL,------,Other,620 FOX RUN PARKWAY,OPELIKA,AL,36803,32.661164,-85.36142,,N  ,-----,------         
ALD000612374,CHATTAHOOCHEE HYDRO GA POWER CO,AL,------,Other,RT 2 HWY 87,SALEM,AL,36874,,,N  ,N  ,-----,------         
ALR000034728,NORTH JACKSON HIGH,AL,------,VSQG,45549 AL HWY 277,STEVENSON,AL,35772,,,3,N  ,H----,------         
ALR000035253,SARDIS HIGH SCHOOL,AL,------,VSQG,1420 CHURCH STREET,SARDIS,AL,35956,,,3,N  ,H----,------         
ALR000035097,CROSSVILLE HIGH SCHOOL,AL,------,VSQG,5405 COUNTY ROAD 28,CROSSVILLE,AL,35962,,,3,N  ,H----,------         
ALR000035444,HALE COUNTY HIGH SCHOOL,AL,------,VSQG,50 WILDCAT WAY,MOUNDVILLE,AL,35474,,,3,N  ,H----,------         
ALR000035394,J.F. SHIELDS HIGH SCHOOL,AL,------,VSQG,17688 HIGHWAY 21 N,BEATRICE,AL,36425,,,3,N  ,H----,------         
ALR000035154,REFINE PRODUCTS,AL,------,Other,2060 GIMON CIR SOUTH,MOBILE,AL,36605-2358,,,N  ,N  ,-----,------         
ALR000020834,AUTOZONE #282,AL,------,Other,210 SECOND AVE NW,CULLMAN,AL,35055,,,,N  ,-----,------         
ALR000020909,AUTOZONE #378,AL,------,Other,1910 BROAD AVE,LANETT,AL,36863,,,,N  ,-----,------         
ALR000001875,STATE FARM INSURANCE COMPANY,AL,------,Other,100 STATE FARM PARKWAY,BIRMINGHAM,AL,35209,,,,N  ,-----,------         
ALD983180316,STATE FARM INS CO,AL,------,Other,2100 SOUTH 18TH STREET,BIRMINGHAM,AL,35297,,,,N  ,-----,------         
ALR000022178,THE FRIENDS OF MAGNOLIA CEMETERY INC,AL,------,VSQG,1202 VIRGINIA STREET,MOBILE,AL,36604,30.4035,-88.0345,3,N  ,H----,------         
ALR000020875,AUTOZONE #354,AL,------,Other,715 N BRINDLEE MTN,ARAB,AL,35016,,,,N  ,-----,------         
ALD131160475,KANS INC,AL,------,SQG,580 WEST GRAND AVE,RAINBOW CITY,AL,35906,33.990983,-86.072468,2,N  ,H----,------         
ALR000021428,AUTOZONE #155,AL,------,Other,1121 HUFFMAN RD,BIRMINGHAM,AL,35215,,,,N  ,-----,------         
ALR000035055,SKYLINE HIGH SCHOOL,AL,------,VSQG,897 COUNTY ROAD 25,SCOTTSBORO,AL,35768,,,3,N  ,H----,------         
ALD983171455,BALDWIN COUNTY ELECTRIC MEMBERSHIP COOP,AL,------,Other,200 WEST 22ND AVE,GULF SHORES,AL,36542,,,,N  ,-----,------         
ALR000021238,AUTOZONE #269,AL,------,Other,1640 FORESTDALE,FORESTDALE,AL,35214,,,,N  ,-----,------         
ALR000020701,AUTOZONE #254,AL,------,Other,2501 E SOUTH BLVD,MONTGOMERY,AL,36116,,,,N  ,-----,------         
ALR000020776,AUTOZONE #2331,AL,------,Other,1305 S BROAD ST,SCOTTSBORO,AL,35768,,,,N  ,-----,------         
ALR000020784,AUTOZONE #2356,AL,------,Other,1245 S FOREST AVE,LUVERNE,AL,36049,,,,N  ,-----,------         
ALR000020602,AUTOZONE #2056,AL,------,Other,12041 HIGHWAY 157,MOULTON,AL,35650,,,,N  ,-----,------         
ALR000020636,AUTOZONE #2301,AL,------,Other,813 GAULT AVE S,FORT PAYNE,AL,36092,,,,N  ,-----,------         
ALR000021170,AUTOZONE #2380,AL,------,Other,2901 US HWY 280,ALEXANDER CITY,AL,35010,,,,N  ,-----,------         
ALD983175068,RDH TECHNICAL CENTER,AL,------,Other,US HIGHWAY 43 NORTH,BUCKS,AL,36512,,,,N  ,-----,------         
ALR000033662,CONTAINER RECYCLING INC,AL,------,Other,230 COCKRELL AVENUE,DECATUR,AL,35601,,,N  ,N  ,-----,------         
ALR000034348,MERCY MEDICAL,AL,------,Other,101 VILLA DRIVE,DAPHNE,AL,35626,,,,N  ,-----,------         
ALR000024455,HOSEA O WEAVER & SONS - WHATLEY,AL,------,Other,1 MAIN STREET,WHATLEY,AL,36482,,,,N  ,H----,------         
ALR000020990,AUTOZONE #2347,AL,------,Other,3500 GREENSBORO AVE,TUSCALOOSA,AL,35401,,,,N  ,-----,------         
ALR000033670,C&W MACHINE & TOOL,AL,------,VSQG,11661 US HIGHWAY 431,GUNTERSVILLE,AL,35976,,,3,N  ,H----,------         
ALR000034454,PHILLIPS AUTO & WRECKER SERVICE,AL,------,Other,2846 OLD HIGHWAY 84,ASHFORD,AL,36312,,,,N  ,-----,------         
ALR000020727,AUTOZONE #459,AL,------,Other,1202 RUCKER BLVD,ENTERPRISE,AL,36330,,,,N  ,-----,------         
ALD982084394,DAVENPORT BODY SHOP,AL,------,Other,HWY 31 S RT 1 BOX 35,LETOHATCHEE,AL,36047,,,,N  ,-----,------         
ALR000007831,SIMPSON'S COLLISION REPAIR CENTER,AL,------,VSQG,715 N BROADWAY STREET,FLORENCE,AL,35630,34.824444,-87.622222,3,N  ,H----,------         
ALR000005058,"PLASMINE TECHNOLOGY, INC.",AL,------,VSQG,251 NEWPORT PARKWAY,BAY MINETTE,AL,36507,30.881625,-87.769421,3,N  ,H----,------         
ALR000020479,AUTOZONE #402,AL,------,Other,5135 MOFFETT RD,MOBILE,AL,36618,,,,N  ,-----,------         
ALR000031252,SMACKCO,AL,------,VSQG,4745 ROSS ROAD,ATMORE,AL,36502,,,3,N  ,H----,------         
