model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.281867145,0.744485766,0.763574177,0.135426145,0.230050879,0.559483906
Random forest,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.281867145,0.74380183,0.756733647,0.134212921,0.227989953,0.558639199
Random forest,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.281867145,0.742562195,0.744335186,0.132013952,0.224254524,0.557108167
ADA Boost,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.281867145,0.742091989,0.739632322,0.13117986,0.222837638,0.55652743
Random forest,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.281867145,0.764042062,0.729585293,0.258795875,0.382066495,0.610573533
Bagging,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.281867145,0.739826451,0.716973065,0.127161056,0.21601082,0.553729337
Logistic regression,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.281867145,0.739569975,0.714407867,0.126706096,0.215237973,0.553412572
Logistic regression,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.281867145,0.739569975,0.714407867,0.126706096,0.215237973,0.553412572
Gradient boosting,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.281867145,0.758784304,0.703292005,0.249469214,0.368297325,0.604079845
ADA Boost,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.281867145,0.758014876,0.699444207,0.248104337,0.366282324,0.60312955
Random forest,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.281867145,0.756604258,0.69238991,0.245602062,0.362588156,0.601387341
Random forest,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.281867145,0.771907327,0.679253349,0.361464968,0.471840048,0.64723546
Gradient boosting,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.281867145,0.768530392,0.66799658,0.355474674,0.464020588,0.643064718
Random forest,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.281867145,0.765794648,0.658877173,0.350621777,0.457685836,0.639685889
Bagging,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.281867145,0.749764897,0.65818726,0.233469821,0.34467704,0.592940268
ADA Boost,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.281867145,0.765538172,0.658022229,0.350166818,0.457091953,0.639369123
Bagging,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.281867145,0.752457895,0.614420063,0.326963907,0.42680392,0.623214096
Logistic regression,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.281867145,0.738864666,0.603676785,0.214134061,0.316131199,0.579477745
Logistic regression,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.281867145,0.738779174,0.603249252,0.213982408,0.31590731,0.579372157
Logistic regression,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.281867145,0.743951441,0.586064406,0.311874431,0.4071068,0.612708049
Logistic regression,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.281867145,0.743865949,0.585779424,0.311722778,0.406908839,0.612602461
Decision tree,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.281867145,0.719415235,0.504274722,0.268350015,0.350291992,0.582404174
Decision tree,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.281867145,0.718688553,0.502778965,0.178343949,0.263293406,0.554558879
Decision tree,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.281867145,0.714926904,0.483967507,0.171671216,0.253442293,0.549912989
Decision tree,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.281867145,0.711891938,0.479196352,0.25500455,0.332871424,0.573112394
Decision tree,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.281867145,0.715247499,0.471141513,0.083560813,0.141946287,0.523372668
Decision tree,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.281867145,0.713794135,0.456605387,0.080982712,0.137566819,0.521577665
Gaussian Naive Bayes,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,{},0.05,0.281867145,0.710759169,0.426250534,0.075599029,0.128421459,0.517829277
Gaussian Naive Bayes,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,{},0.15,0.281867145,0.682739164,0.382017669,0.20329087,0.265366723,0.537106745
Gaussian Naive Bayes,01/01/2000 - 01/01/2015,01/01/2016 - 01/01/2017,{},0.1,0.281867145,0.694195093,0.380290723,0.134895359,0.199149222,0.524307799
