model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.316852599,0.705860787,0.727209221,0.114717064,0.198172473,0.547378977
ADA Boost,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.316852599,0.705406868,0.72266853,0.114000771,0.196935085,0.546854717
Gradient boosting,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.316852599,0.705127534,0.719874258,0.113559976,0.196173615,0.546532096
Gradient boosting,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.316852599,0.721643185,0.692509167,0.218524437,0.332216452,0.586760302
ADA Boost,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.316852599,0.719164092,0.680111751,0.214612375,0.326269057,0.583897039
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.316852599,0.716580248,0.667190501,0.210535016,0.320070364,0.580912793
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.316852599,0.730162887,0.656733791,0.310871122,0.421989529,0.617753476
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.316852599,0.714485239,0.656713812,0.207229048,0.315044396,0.578493134
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.316852599,0.698248922,0.651065316,0.102705383,0.177422425,0.53858755
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.316852599,0.697655336,0.645127489,0.101768692,0.175804302,0.53790198
Bagging,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.316852599,0.697515669,0.643730353,0.101548295,0.175423567,0.537740669
Bagging,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.316852599,0.71074914,0.638030382,0.201333407,0.306081421,0.574178076
Random forest,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.316852599,0.72443653,0.637644046,0.301834812,0.409723261,0.611139742
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.316852599,0.696817333,0.636744673,0.100446306,0.173519893,0.536934116
Gradient boosting,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.316852599,0.723982611,0.636130835,0.301118519,0.408750935,0.610615482
ADA Boost,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.316852599,0.72366836,0.635083227,0.300622624,0.408077786,0.610252533
Bagging,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.316852599,0.719373592,0.620765918,0.293845391,0.398878085,0.605292233
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.316852599,0.700378847,0.58617077,0.184968869,0.281202882,0.562200765
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.316852599,0.700274097,0.585646936,0.18480357,0.280951583,0.562079782
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.316852599,0.69377957,0.535444069,0.253457491,0.344053852,0.575732068
Logistic regression,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.316852599,0.692732066,0.531952043,0.251804507,0.341810022,0.574522238
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.316852599,0.690252972,0.52368758,0.247892446,0.336499626,0.571658975
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.316852599,0.686167705,0.515103894,0.162543391,0.247110069,0.545787412
Decision tree,01/01/2000 - 01/01/2007,01/01/2008 - 01/01/2009,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.316852599,0.686970792,0.512745897,0.242713097,0.32946896,0.567868176
