model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.342745931,0.683227176,0.759731069,0.110830064,0.193440851,0.546275913
ADA Boost,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.342745931,0.682448691,0.751946214,0.109694404,0.19145869,0.54541197
Random forest,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.342745931,0.681776362,0.74522293,0.108713607,0.189746824,0.544665838
Random forest,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.342745931,0.679263977,0.72009908,0.105048524,0.183349851,0.541877659
Logistic regression,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.342745931,0.678839349,0.715852795,0.104429073,0.182268673,0.541406418
Logistic regression,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.342745931,0.678450106,0.711960368,0.103861243,0.181277593,0.540974446
Bagging,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.342745931,0.677990092,0.707360226,0.103190171,0.180106316,0.540463935
Logistic regression,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.342745931,0.698018401,0.703821656,0.205347925,0.317934783,0.580142467
Logistic regression,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.342745931,0.697169144,0.699575372,0.204109023,0.316016624,0.579199984
Random forest,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.342745931,0.696815287,0.697806086,0.203592814,0.315217391,0.578807283
Random forest,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.342745931,0.691932059,0.67338995,0.196469131,0.30418798,0.573388006
Gradient boosting,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.342745931,0.691896674,0.673213022,0.19641751,0.304108056,0.573348736
Random forest,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.342745931,0.708634112,0.671266808,0.29377452,0.408689408,0.609375146
ADA Boost,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.342745931,0.690516631,0.66631281,0.194404295,0.300991049,0.571817201
Bagging,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.342745931,0.689313517,0.66029724,0.192649184,0.298273657,0.570482017
Random forest,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.342745931,0.704246285,0.656640717,0.287373529,0.39978456,0.604505651
Gradient boosting,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.342745931,0.701450814,0.647322482,0.283295478,0.394111311,0.601403311
Logistic regression,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.342745931,0.699964614,0.642368483,0.2811274,0.391095153,0.599753966
Logistic regression,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.342745931,0.699044586,0.639301722,0.279785257,0.389228007,0.598732943
ADA Boost,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.342745931,0.697523001,0.634229771,0.277565559,0.386140036,0.597044328
Bagging,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.342745931,0.693595188,0.621137061,0.271835639,0.378168761,0.592685344
Decision tree,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.342745931,0.666949752,0.548478415,0.160024778,0.247762148,0.545663299
Decision tree,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.342745931,0.661075725,0.538216561,0.078515383,0.137039373,0.521692816
Decision tree,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.342745931,0.668152866,0.536329323,0.234720215,0.326535009,0.564450126
Decision tree,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.342745931,0.659837226,0.525831564,0.076708652,0.133885936,0.520318362
Decision tree,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.342745931,0.659766454,0.512561925,0.149545736,0.231537724,0.537691464
Decision tree,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.342745931,0.657218684,0.499882048,0.218769358,0.304344704,0.552315658
Gaussian Naive Bayes,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,{},0.1,0.342745931,0.656935598,0.498407643,0.145416064,0.225143862,0.534549854
Gaussian Naive Bayes,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,{},0.05,0.342745931,0.657041755,0.497876858,0.072630601,0.126768177,0.517216022
Gaussian Naive Bayes,01/01/2000 - 01/01/2003,01/01/2004 - 01/01/2005,{},0.15,0.342745931,0.656546355,0.497640953,0.217788561,0.302980251,0.551569525
