model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.337894619,0.688636448,0.765340275,0.113238693,0.197287063,0.547759973
ADA Boost,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.337894619,0.688264604,0.761621421,0.112688456,0.196328428,0.547344453
Bagging,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.337894619,0.686665675,0.745630346,0.110322439,0.192206298,0.545557715
Logistic regression,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.337894619,0.684397427,0.722945333,0.106965995,0.186358625,0.54302304
Logistic regression,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.337894619,0.683802476,0.716995165,0.106085617,0.184824809,0.542358208
Random forest,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.337894619,0.683021604,0.709185571,0.10493012,0.182811676,0.541485615
Gradient boosting,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.337894619,0.701409289,0.696541465,0.206118631,0.31810462,0.580145691
ADA Boost,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.337894619,0.700107835,0.69003347,0.204192803,0.315132473,0.578691369
Logistic regression,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.337894619,0.698285799,0.680922276,0.201496644,0.310971467,0.576655319
Random forest,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.337894619,0.679972484,0.678690963,0.10041818,0.17495087,0.538078347
Logistic regression,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.337894619,0.696909977,0.674042395,0.199460768,0.307829484,0.575117894
Random forest,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.337894619,0.695645707,0.667720342,0.197589964,0.304942255,0.573705124
Bagging,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.337894619,0.695013572,0.664559316,0.196654561,0.303498641,0.57299874
ADA Boost,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.337894619,0.70674525,0.648816165,0.287993837,0.398917724,0.604221
Random forest,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.337894619,0.691852899,0.648754184,0.19197755,0.296280571,0.569466816
Gradient boosting,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.337894619,0.705890009,0.645965043,0.286728293,0.397164742,0.603265303
Logistic regression,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.337894619,0.70581564,0.645717119,0.286618246,0.397012309,0.603182199
Logistic regression,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.337894619,0.70548098,0.644601463,0.286123033,0.39632636,0.602808231
Random forest,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.337894619,0.701241959,0.630469815,0.279850336,0.387637666,0.598071298
Bagging,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.337894619,0.696073328,0.613239122,0.272202047,0.377043558,0.592295565
Random forest,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.337894619,0.693619157,0.605057642,0.268570485,0.372013262,0.58955313
Decision tree,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.337894619,0.665730859,0.536258832,0.079344118,0.138235153,0.522163916
Decision tree,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.337894619,0.667199643,0.525474154,0.155496864,0.23997962,0.541917813
Decision tree,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.337894619,0.665042948,0.514689476,0.152305491,0.235054348,0.539507795
Decision tree,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.337894619,0.66632581,0.514069667,0.228183119,0.316070272,0.559053932
Decision tree,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.337894619,0.663016398,0.503037065,0.223286013,0.309286994,0.5553558
Decision tree,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.337894619,0.661826498,0.497210859,0.073566634,0.128169487,0.517800951
Gaussian Naive Bayes,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,{},0.05,0.337894619,0.652381661,0.402751952,0.059590624,0.10382016,0.507246733
Gaussian Naive Bayes,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,{},0.1,0.337894619,0.624883799,0.313871328,0.092879938,0.143342391,0.49463159
Gaussian Naive Bayes,01/01/2000 - 01/01/2002,01/01/2003 - 01/01/2004,{},0.15,0.337894619,0.605826795,0.312383786,0.138659624,0.192065851,0.49144876
