model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.261358421,0.762658712,0.740244836,0.141571554,0.237685788,0.561996816
Bagging,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.261358421,0.759943399,0.713083397,0.136376939,0.228964501,0.558480486
ADA Boost,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.261358421,0.759522717,0.708875287,0.135572139,0.227613315,0.557935702
Gradient boosting,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.261358421,0.759293254,0.706579954,0.135133158,0.226876305,0.557638547
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.261358421,0.757687012,0.690512624,0.132060287,0.221717234,0.555558465
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.261358421,0.77587196,0.686173264,0.262510975,0.379742816,0.610014419
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.261358421,0.769179287,0.652706062,0.249707346,0.361221358,0.601347408
ADA Boost,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.261358421,0.766463974,0.63912794,0.24451273,0.353706938,0.597831078
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.261358421,0.752371118,0.637337414,0.121890547,0.204643164,0.548674382
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.261358421,0.752141655,0.635042081,0.121451566,0.203906154,0.548377227
Gradient boosting,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.261358421,0.765278415,0.633199465,0.242244659,0.350425994,0.596295779
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.261358421,0.776082301,0.624808771,0.358574773,0.455652659,0.641193258
Bagging,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.261358421,0.763557442,0.624593613,0.238952297,0.345663333,0.594067119
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.261358421,0.773825914,0.617287098,0.354258121,0.450167348,0.638271237
ADA Boost,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.261358421,0.768815971,0.600586435,0.34467369,0.4379881,0.631783361
Gradient boosting,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.261358421,0.767171485,0.595104539,0.341527656,0.433990331,0.629653752
Bagging,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.261358421,0.767094998,0.594849567,0.341381329,0.433804388,0.629554701
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.261358421,0.756444088,0.589022758,0.225343869,0.325977668,0.584855325
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.261358421,0.756405844,0.588831517,0.225270705,0.325871832,0.584805799
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.261358421,0.756539697,0.559663437,0.321188177,0.408144292,0.615885587
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.261358421,0.756539697,0.559663437,0.321188177,0.408144292,0.615885587
Gaussian Naive Bayes,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,{},0.15,0.261358421,0.738871042,0.500764916,0.287386596,0.365191521,0.593004679
Gaussian Naive Bayes,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,{},0.1,0.261358421,0.734339146,0.47848537,0.183055312,0.264803937,0.556229427
Gaussian Naive Bayes,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,{},0.05,0.261358421,0.734243537,0.456006121,0.087211004,0.146419359,0.525199165
Decision tree,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.261358421,0.733631635,0.449885233,0.086040386,0.144453998,0.524406752
Decision tree,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.261358421,0.722540921,0.446328404,0.256145742,0.325492748,0.571857172
Decision tree,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.261358421,0.727569986,0.444635686,0.170105356,0.246070805,0.547463364
Decision tree,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.261358421,0.706822702,0.393931668,0.226075505,0.287281517,0.551502079
Decision tree,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.261358421,0.71735888,0.393574297,0.150570676,0.217812351,0.534239982
Decision tree,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.261358421,0.727550864,0.389058914,0.074407375,0.124923228,0.516532154
