model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.336112019,0.683919945,0.700326916,0.104176798,0.181373471,0.540804033
ADA Boost,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.336112019,0.682358069,0.684707592,0.101853353,0.177328316,0.539054156
Gradient boosting,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.336112019,0.682321746,0.684344352,0.101799319,0.177234243,0.539013461
Gradient boosting,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.336112019,0.698285569,0.671994188,0.199924353,0.30816641,0.575259673
Bagging,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.336112019,0.680687225,0.667998547,0.099367807,0.173000941,0.537182194
ADA Boost,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.336112019,0.694471686,0.652924083,0.194250824,0.299421147,0.570986717
Random forest,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.336112019,0.678580509,0.646930621,0.096233857,0.167544685,0.534821894
Gradient boosting,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.336112019,0.706512658,0.64208742,0.286540228,0.396248973,0.602837889
Bagging,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.336112019,0.691965421,0.640392299,0.190522505,0.29367426,0.568178774
ADA Boost,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.336112019,0.705096074,0.637365298,0.284432917,0.393334828,0.60125079
Random forest,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.336112019,0.690984708,0.635488558,0.189063598,0.291425478,0.567080014
Logistic regression,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.336112019,0.690403545,0.632582637,0.18819906,0.290092866,0.566428897
Logistic regression,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.336112019,0.677054956,0.631674537,0.093964446,0.163593603,0.533112711
Logistic regression,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.336112019,0.689677091,0.628950236,0.187118388,0.288427102,0.565615
Logistic regression,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.336112019,0.676219534,0.623320015,0.092721673,0.161429915,0.53217673
Random forest,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.336112019,0.700519414,0.622109214,0.277624683,0.383919898,0.596123243
Random forest,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.336112019,0.687897279,0.620050854,0.184470741,0.284345979,0.563620954
Random forest,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.336112019,0.699139152,0.617508173,0.275571405,0.381080475,0.594576839
Logistic regression,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.336112019,0.695288947,0.604673689,0.269843843,0.373159979,0.590263188
Logistic regression,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.336112019,0.69398133,0.600314808,0.267898633,0.370469999,0.588798174
Bagging,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.336112019,0.689404671,0.585058724,0.261090398,0.36105507,0.583670627
Decision tree,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.336112019,0.670880099,0.56992372,0.084778732,0.147601129,0.526194591
Decision tree,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.336112019,0.672096909,0.541046131,0.160966121,0.248115604,0.545918705
Decision tree,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.336112019,0.674258109,0.53456835,0.238558383,0.329896137,0.566700885
Gaussian Naive Bayes,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,{},0.05,0.336112019,0.664087756,0.501997821,0.074674448,0.130009407,0.518584659
Decision tree,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.336112019,0.660746068,0.489526577,0.218457881,0.302099679,0.551562411
Decision tree,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.336112019,0.658766481,0.474391573,0.141135786,0.217548828,0.530983705
Gaussian Naive Bayes,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,{},0.15,0.336112019,0.656060441,0.473907253,0.211487545,0.292460584,0.546312778
Decision tree,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.336112019,0.66103665,0.471485652,0.070135624,0.122107244,0.515166294
Gaussian Naive Bayes,01/01/2000 - 01/01/2005,01/01/2006 - 01/01/2007,{},0.1,0.336112019,0.657495187,0.468034871,0.13924461,0.21463374,0.529559386
