model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.34651399,0.68168806,0.782046546,0.112834453,0.197214588,0.548079889
ADA Boost,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.34651399,0.681097054,0.776135944,0.111981665,0.195724067,0.547427398
Bagging,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.34651399,0.678326715,0.748429996,0.107984223,0.188737249,0.544368846
Bagging,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.34651399,0.701652969,0.740857037,0.213783179,0.331816678,0.587065684
Logistic regression,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.34651399,0.675962693,0.724787588,0.104573073,0.182775164,0.541758882
ADA Boost,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.34651399,0.697663681,0.720908755,0.208026863,0.322882197,0.58266137
Logistic regression,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.34651399,0.675445563,0.719615811,0.103826884,0.181470958,0.541187952
Gradient boosting,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.34651399,0.697035737,0.717768748,0.207120776,0.321475844,0.581968098
Random forest,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.34651399,0.671825653,0.683413373,0.09860356,0.172341516,0.537191445
Random forest,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.34651399,0.671382399,0.678980421,0.09796397,0.171223625,0.536702076
ADA Boost,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.34651399,0.705032782,0.671838444,0.290800554,0.405907079,0.607740949
Gradient boosting,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.34651399,0.704995844,0.671715306,0.290747255,0.405832682,0.607700169
Random forest,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.34651399,0.686951704,0.667343923,0.192570088,0.298891463,0.570834969
Logistic regression,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.34651399,0.684587681,0.655522719,0.189158938,0.293596956,0.568225005
Logistic regression,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.34651399,0.684255241,0.653860362,0.188679245,0.292852416,0.567857979
Random forest,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.34651399,0.696352387,0.642901121,0.278275237,0.388423911,0.598157487
Random forest,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.34651399,0.681965094,0.64240857,0.185374694,0.287723362,0.565329576
Bagging,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.34651399,0.69424693,0.635882281,0.275237182,0.384183313,0.595832988
Logistic regression,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.34651399,0.693582048,0.633665805,0.274277796,0.382844177,0.595098935
Random forest,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.34651399,0.693471235,0.633296392,0.274117898,0.382620987,0.594976593
Logistic regression,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.34651399,0.692215348,0.629109716,0.272305724,0.380091508,0.59359005
Decision tree,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.34651399,0.666635885,0.565755449,0.163255516,0.253391794,0.548405589
Decision tree,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.34651399,0.659894727,0.564093092,0.081387912,0.142251619,0.524019282
Decision tree,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.34651399,0.659082094,0.555966014,0.080215329,0.140202152,0.523122106
Gaussian Naive Bayes,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,{},0.1,0.34651399,0.661575399,0.540450683,0.155953523,0.24205824,0.542818635
Decision tree,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.34651399,0.663847077,0.534540081,0.231371922,0.322955027,0.562270479
Decision tree,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.34651399,0.659691569,0.531030661,0.153235263,0.237839179,0.54073882
Gaussian Naive Bayes,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,{},0.15,0.34651399,0.659451473,0.519886713,0.225029315,0.314101849,0.557417577
Decision tree,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.34651399,0.656865823,0.511267085,0.221298369,0.308894097,0.554562928
Gaussian Naive Bayes,01/01/2000 - 01/01/2004,01/01/2005 - 01/01/2006,{},0.05,0.34651399,0.65261797,0.491318803,0.070887965,0.123899576,0.515985485
