model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
ADA Boost,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.294509498,0.728354584,0.728660652,0.123696766,0.211491012,0.552233944
Gradient boosting,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.294509498,0.726203487,0.707147814,0.120044766,0.205246991,0.549645674
Random forest,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.294509498,0.725127938,0.696391395,0.118218767,0.202124981,0.548351539
Random forest,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.294509498,0.724989158,0.69500347,0.117983154,0.201722141,0.548184554
Random forest,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.294509498,0.743238789,0.688757807,0.233845791,0.349149114,0.594866242
Random forest,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.294509498,0.741226472,0.67869535,0.230429404,0.344048195,0.592444957
Logistic regression,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.294509498,0.722525804,0.6703678,0.113801025,0.194571731,0.545220568
Logistic regression,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.294509498,0.722456414,0.669673838,0.113683218,0.194370311,0.545137075
Gradient boosting,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.294509498,0.737340619,0.6592644,0.223832244,0.334198144,0.587769373
ADA Boost,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.294509498,0.736993668,0.657529493,0.223243211,0.333318676,0.58735191
Random forest,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.294509498,0.750524764,0.650127226,0.331095011,0.438746439,0.628356102
Bagging,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.294509498,0.719195073,0.637057599,0.108146316,0.18490357,0.541212924
Random forest,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.294509498,0.745181716,0.632315522,0.322023915,0.426725988,0.621927173
Logistic regression,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.294509498,0.72873623,0.616238723,0.209224245,0.312387318,0.577416293
Logistic regression,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.294509498,0.728701535,0.616065232,0.209165341,0.312299371,0.577374546
Bagging,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.294509498,0.728007633,0.61259542,0.207987277,0.310540434,0.576539621
Gradient boosting,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.294509498,0.736403851,0.603053435,0.3071214,0.406978106,0.611365362
ADA Boost,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.294509498,0.734807876,0.597733056,0.304411851,0.403387581,0.609445033
Logistic regression,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.294509498,0.731824096,0.58778626,0.299346174,0.396674862,0.605854852
Logistic regression,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.294509498,0.73165062,0.587207957,0.299051658,0.396284588,0.60564612
Bagging,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.294509498,0.727972938,0.574947953,0.292807917,0.388010772,0.601221013
Gaussian Naive Bayes,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,{},0.05,0.294509498,0.708821233,0.533310201,0.090534252,0.154791279,0.528730783
Gaussian Naive Bayes,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,{},0.1,0.294509498,0.706878307,0.506939625,0.172115215,0.256980784,0.55111613
Gaussian Naive Bayes,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,{},0.15,0.294509498,0.701084222,0.485311127,0.24715792,0.327518245,0.568867639
Decision tree,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.294509498,0.70025154,0.447605829,0.075985156,0.129915907,0.518419449
Decision tree,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.294509498,0.694977882,0.447432339,0.15191141,0.226815004,0.536797153
Decision tree,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.294509498,0.689218492,0.445755263,0.227013018,0.300823479,0.554590408
Decision tree,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.294509498,0.680648799,0.417187139,0.212463922,0.281543925,0.544279074
Decision tree,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.294509498,0.696400382,0.409090909,0.069446899,0.118737097,0.513785611
Decision tree,01/01/2000 - 01/01/2009,01/01/2010 - 01/01/2011,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.294509498,0.687206176,0.408570437,0.138717088,0.207114903,0.527445984
