model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Bagging,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.260871308,0.763075628,0.739478958,0.14172684,0.237865016,0.562052011
Gradient boosting,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.260871308,0.760630836,0.71503006,0.13704102,0.230000645,0.558882185
Random forest,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.260871308,0.760310208,0.711823647,0.136426486,0.228969252,0.55846647
Random forest,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.260871308,0.75914793,0.700200401,0.134198802,0.225230452,0.556959503
ADA Boost,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.260871308,0.757945573,0.688176353,0.1318943,0.221362728,0.555400572
Random forest,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.260871308,0.775880726,0.683767535,0.262098633,0.378942692,0.609657927
Random forest,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.260871308,0.773716484,0.672945892,0.25795053,0.372945358,0.606851851
Bagging,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.260871308,0.769788786,0.653306613,0.250422492,0.362061306,0.601759343
Logistic regression,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.260871308,0.753937718,0.648096192,0.124212629,0.208470315,0.550204135
Logistic regression,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.260871308,0.753937718,0.648096192,0.124212629,0.208470315,0.550204135
Random forest,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.260871308,0.781070899,0.639812959,0.36787525,0.467151149,0.647390613
Logistic regression,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.260871308,0.766061481,0.634669339,0.243278537,0.351732563,0.596926656
Logistic regression,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.260871308,0.765620616,0.63246493,0.242433554,0.350510884,0.596355048
Random forest,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.260871308,0.776381708,0.624181697,0.358887694,0.455738185,0.641310781
Gradient boosting,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.260871308,0.763255982,0.620641283,0.237901367,0.343958241,0.59328915
Bagging,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.260871308,0.768406076,0.59759519,0.343601168,0.436326391,0.630969871
Logistic regression,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.260871308,0.766201755,0.590247161,0.339376248,0.430961323,0.628111831
Logistic regression,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.260871308,0.766041441,0.589712759,0.339068981,0.430571136,0.627903973
