model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.279502183,0.743141079,0.726495726,0.129926231,0.220430714,0.555475645
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.279502183,0.741617907,0.711259755,0.127201436,0.21580787,0.553584733
Bagging,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.279502183,0.74050339,0.700111483,0.125207683,0.212425302,0.552201139
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.279502183,0.754174793,0.66840052,0.239117432,0.352227117,0.596549022
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.279502183,0.765840067,0.651145511,0.349438426,0.454804948,0.638406436
Bagging,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.279502183,0.74993963,0.647222738,0.231541171,0.341067058,0.591291365
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.279502183,0.748119253,0.638120007,0.228284708,0.336270191,0.589031495
Gradient boosting,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.279502183,0.747339092,0.634218837,0.226889081,0.334214391,0.588062979
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.279502183,0.733630538,0.631363805,0.112912873,0.191566129,0.543668976
Gradient boosting,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.279502183,0.733556237,0.630620587,0.112779956,0.191340625,0.543576737
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.279502183,0.758818612,0.627739938,0.336877783,0.438456881,0.629689794
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.279502183,0.733184731,0.626904496,0.112115372,0.190213102,0.543115539
ADA Boost,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.279502183,0.745630166,0.625673416,0.223831993,0.329711209,0.585941468
ADA Boost,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.279502183,0.732590322,0.620958751,0.111052037,0.188409065,0.542377622
Bagging,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.279502183,0.752948825,0.608173375,0.326377351,0.424790243,0.622402865
Gradient boosting,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.279502183,0.752094362,0.605325077,0.324848807,0.422800796,0.62134211
ADA Boost,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.279502183,0.750794093,0.600990712,0.322522762,0.419773376,0.619727917
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.279502183,0.740057583,0.597807914,0.213863229,0.315026921,0.579023498
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.279502183,0.739983282,0.597436374,0.213730312,0.314831131,0.578931259
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.279502183,0.744404198,0.579690402,0.311091912,0.40489577,0.611795311
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.279502183,0.744292746,0.579318885,0.310892537,0.404636277,0.611656952
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.279502183,0.718658865,0.490804384,0.175583173,0.258639256,0.552458494
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.279502183,0.719401876,0.489037533,0.087459294,0.148382005,0.526005093
Gaussian Naive Bayes,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,{},0.05,0.279502183,0.718361661,0.478632479,0.085598458,0.145224941,0.524713739
Gaussian Naive Bayes,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,{},0.15,0.279502183,0.712900529,0.474674923,0.254735163,0.331545714,0.572685721
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.279502183,0.712863379,0.474551084,0.254668705,0.331459216,0.572639601
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.279502183,0.710782948,0.467616099,0.250947033,0.326615345,0.570056893
Gaussian Naive Bayes,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,{},0.1,0.279502183,0.713346336,0.464239272,0.166079617,0.244640235,0.545863362
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.279502183,0.708628216,0.44064648,0.157639397,0.232207538,0.540006148
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.279502183,0.712417572,0.419175028,0.074965109,0.127184575,0.517334571
