model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.324554083,0.695126448,0.69681677,0.107343619,0.18602964,0.542450868
Gradient boosting,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.324554083,0.692525668,0.670807453,0.103336921,0.179085916,0.539484903
ADA Boost,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.324554083,0.692370398,0.669254658,0.103097716,0.178671365,0.53930783
Bagging,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.324554083,0.691865769,0.664208075,0.102320297,0.177324075,0.538732345
Logistic regression,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.324554083,0.691594045,0.661490683,0.101901686,0.176598611,0.538422468
Logistic regression,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.324554083,0.691438775,0.659937888,0.101662481,0.176184061,0.538245395
ADA Boost,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.324554083,0.705219028,0.648874224,0.199916278,0.305659687,0.573967507
Random forest,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.324554083,0.690313064,0.648680124,0.099928238,0.173178568,0.536961619
Random forest,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.324554083,0.703938047,0.642468944,0.19794283,0.302642407,0.572506658
Gradient boosting,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.324554083,0.703782777,0.641692547,0.197703624,0.302276676,0.572329586
Random forest,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.324554083,0.702113619,0.633346273,0.195132161,0.298345067,0.570426056
Logistic regression,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.324554083,0.70160899,0.630822981,0.194354742,0.297156441,0.56985057
Logistic regression,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.324554083,0.701065544,0.62810559,0.193517522,0.295876383,0.569230816
Gradient boosting,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.324554083,0.712050929,0.62202381,0.287465614,0.393210634,0.601765622
Bagging,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.324554083,0.698697669,0.616265528,0.189869633,0.290298985,0.56653046
ADA Boost,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.324554083,0.708634979,0.610636646,0.282203086,0.38601227,0.597870027
Random forest,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.324554083,0.708363255,0.609730849,0.281784476,0.385439673,0.59756015
Bagging,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.324554083,0.707392815,0.606495859,0.280289439,0.383394683,0.596453446
