model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.7204978174050339,0.7431410792235534,0.7264957264957265,0.1299262311424204,0.22043071372195286,0.5554756452195552
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.7204978174050339,0.7416179065663602,0.7112597547380156,0.12720143550209345,0.21580787010936972,0.5535847334259977
Bagging,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.7204978174050339,0.7405033899879261,0.7001114827201784,0.12520768259453713,0.21242530161235765,0.5522011394307119
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.7204978174050339,0.7541747933500511,0.6684005201560468,0.23911743204625507,0.3522271169848263,0.5965490223034204
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.7204978174050339,0.7658400668709947,0.6511455108359133,0.34943842626437166,0.4548049476688868,0.6384064359846144
Bagging,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.7204978174050339,0.7499396303520015,0.6472227382500464,0.23154117099754104,0.34106705824767497,0.5912913651213342
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.7204978174050339,0.7481192532738925,0.6381200074308007,0.22828470791519903,0.3362701908957415,0.5890314949290341
Gradient boosting,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.7204978174050339,0.7473390916689886,0.6342188370796953,0.2268890808799096,0.3342143906020558,0.5880629791323339
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.7204978174050339,0.7336305377542491,0.6313638052768488,0.11291287299793978,0.1915661292141166,0.5436689764597825
Gradient boosting,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.7204978174050339,0.7335562366490201,0.6306205871423263,0.11277995613743604,0.1913406246476491,0.5435767368600968
Random forest,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.7204978174050339,0.7588186124268599,0.6277399380804953,0.3368777829467668,0.43845688089265633,0.6296897938143137
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.7204978174050339,0.7331847311228754,0.6269044964697139,0.11211537183491727,0.19021310181531176,0.5431155388616682
ADA Boost,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.7204978174050339,0.7456301662487229,0.6256734163106075,0.22383199308832324,0.3297112090063632,0.5859414683395624
ADA Boost,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.7204978174050339,0.7325903222810439,0.620958751393534,0.11105203695088722,0.188409065283572,0.5423776220641824
Bagging,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.7204978174050339,0.7529488251137736,0.6081733746130031,0.3263773509669702,0.424790243058559,0.6224028654391415
Gradient boosting,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.7204978174050339,0.7520943624036408,0.6053250773993808,0.32484880707117697,0.42280079577891183,0.6213421100427557
ADA Boost,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.7204978174050339,0.7507940930621343,0.6009907120743034,0.32252276201236124,0.4197733760055359,0.6197279170482555
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.7204978174050339,0.7400575833565525,0.5978079138027123,0.21386322855054163,0.3150269211943221,0.5790234983631329
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.7204978174050339,0.7399832822513235,0.5974363737692736,0.2137303116900379,0.31483113069016155,0.5789312587634473
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.7204978174050339,0.7444041980124454,0.5796904024767802,0.31109191200903835,0.4048957702620881,0.6117953114752833
Logistic regression,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.7204978174050339,0.7442927463546021,0.5793188854489164,0.3108925367182827,0.40463627713865585,0.6116569520757547
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.7204978174050339,0.7186588650506176,0.4908043841723946,0.17558317272546023,0.2586392559960842,0.5524584936536449
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.7204978174050339,0.7194018761029071,0.4890375325157934,0.08745929421147072,0.1483820047355959,0.5260050931199666
Gaussian Naive Bayes,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,{},0.05,0.7204978174050339,0.7183616606297019,0.47863247863247865,0.08559845816441816,0.14522494080505133,0.5247137387243664
Gaussian Naive Bayes,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,{},0.15,0.7204978174050339,0.7129005293953747,0.4746749226006192,0.25473516315544625,0.33154571403857797,0.5726857212085368
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.7204978174050339,0.7128633788427603,0.47455108359133125,0.2546687047251944,0.3314592163307672,0.5726396014086939
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.7204978174050339,0.71078294789635,0.46761609907120744,0.25094703263108925,0.3266153446933656,0.5700568926174937
Gaussian Naive Bayes,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,{},0.1,0.7204978174050339,0.7133463360267484,0.46423927178153446,0.16607961719944175,0.24464023494860498,0.5458633622761156
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.7204978174050339,0.7086282158447107,0.44064647965818315,0.15763939655745332,0.2322075379344102,0.5400061476960722
Decision tree,01/01/2000 - 01/01/2010,01/01/2011 - 01/01/2012,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.7204978174050339,0.7124175722113867,0.41917502787068006,0.07496510932411776,0.12718457548765363,0.5173345707495086
