model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.7386415787058284,0.7626587119473764,0.7402448355011476,0.14157155399473223,0.23768578798673382,0.5619968156221978
Bagging,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.7386415787058284,0.7599433991127429,0.7130833970925784,0.13637693883523558,0.22896450067559265,0.5584804855717029
ADA Boost,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.7386415787058284,0.7595227168425883,0.708875286916603,0.13557213930348258,0.22761331531752857,0.557935702042753
Gradient boosting,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.7386415787058284,0.7592932537861404,0.7065799540933435,0.13513315774070822,0.22687630512222084,0.5576385473905985
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.7386415787058284,0.757687012391005,0.690512624330528,0.13206028680128767,0.22171723375506694,0.555558464825517
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.7386415787058284,0.7758719596145021,0.6861732644865175,0.26251097453906935,0.3797428163200508,0.6100144186146729
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.7386415787058284,0.7691792871347714,0.6527060623446166,0.24970734562481708,0.3612213578874953,0.6013474079268333
ADA Boost,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.7386415787058284,0.7664639743001377,0.6391279403327597,0.24451273046532046,0.35370693760914435,0.5978310778763384
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.7386415787058284,0.7523711182499617,0.6373374139250191,0.12189054726368159,0.2046431642304385,0.5486743820506044
Logistic regression,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.7386415787058284,0.7521416551935138,0.6350420811017597,0.12145156570090723,0.20390615403513082,0.5483772273984499
Gradient boosting,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.7386415787058284,0.7652784151751568,0.6331994645247657,0.2422446590576529,0.35042599354394877,0.5962957788402068
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.7386415787058284,0.7760823007495793,0.6248087710351862,0.35857477319285924,0.45565265898103385,0.6411932579850597
Bagging,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.7386415787058284,0.7635574422517974,0.6245936125454198,0.2389522973368452,0.3456633328041488,0.5940671189490481
Random forest,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.7386415787058284,0.7738259140278415,0.6172870984191738,0.3542581211589113,0.45016734845667533,0.6382712372388737
ADA Boost,01/01/2000 - 01/01/2011,01/01/2012 - 01/01/2013,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.7386415787058284,0.7688159706287288,0.6005864354920959,0.34467369037167106,0.43798809966530305,0.6317833606668338
