model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.732237397375892,0.7564451776260263,0.7421335379892555,0.13854860663371302,0.2335043766978569,0.5604722704664125
Random forest,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.732237397375892,0.7560999002532034,0.7386799693016116,0.13790386130811663,0.23241774826441292,0.5600320134350816
ADA Boost,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.732237397375892,0.7548722473720556,0.7264006139677667,0.1356114334837739,0.22855418050105647,0.5584666551014604
Random forest,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.732237397375892,0.7529924038977979,0.7075978511128166,0.1321011533777491,0.22263809236341683,0.5560697001531033
Bagging,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.732237397375892,0.7526854906775109,0.7045280122793554,0.13152804642166344,0.2216722004225777,0.5556783605696979
Random forest,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.732237397375892,0.7701603621576,0.6896220985996547,0.2575399383910022,0.37502607969956187,0.6075769793859498
Logistic regression,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.732237397375892,0.749693086779713,0.6745970836531082,0.12594025359982808,0.21225475399939633,0.5518627996314966
Logistic regression,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.732237397375892,0.7495012660170337,0.672678434382195,0.12558206175227452,0.21165107153637186,0.5516182123918683
Random forest,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.732237397375892,0.7652113864804726,0.6648762708613083,0.24829858872412064,0.3615689547256416,0.60126662860354
Random forest,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.732237397375892,0.7717716565641065,0.6317943471032101,0.35389354538290707,0.4536688401138764,0.6392368730241494
Logistic regression,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.732237397375892,0.7578454691935855,0.6280452714367927,0.23454402177806433,0.3415397454621323,0.5918744786018135
Logistic regression,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.732237397375892,0.757692012583442,0.6272779589487819,0.2342574683000215,0.34112247026914255,0.5916788088101109
Random forest,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.732237397375892,0.7675132356326249,0.6175981583322675,0.3459416863672183,0.44347506658095326,0.6338070363044012
Bagging,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.732237397375892,0.7509399217371289,0.5935162094763092,0.22164911526613654,0.3227623617775923,0.5830693379751949
Bagging,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.732237397375892,0.7573083710580834,0.5835784627190178,0.32688588007736946,0.41904674442097534,0.6207949951561762
Gradient boosting,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.732237397375892,0.7462594951277526,0.5701131785919816,0.21290923418582994,0.31003546839140417,0.5771014093282646
Logistic regression,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.732237397375892,0.7507864651269853,0.5618365519887454,0.31470735726054877,0.403434658830012,0.6124790290088141
Logistic regression,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.732237397375892,0.7503260952965549,0.5603018288783732,0.3138476968264202,0.40233262925888513,0.6118920196337062
ADA Boost,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.732237397375892,0.7429601780096677,0.5536159600997507,0.20674833440790888,0.3010640517421239,0.5728945088066579
Gaussian Naive Bayes,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,{},0.05,0.732237397375892,0.7355367144939768,0.5330007674597084,0.0995056952503761,0.16770298822819196,0.5338122613469285
ADA Boost,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.732237397375892,0.742001074196271,0.5325489192991432,0.2983021706425962,0.38240426118100834,0.6012769334338384
Gradient boosting,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.732237397375892,0.7376659249597176,0.5180969433431385,0.29020703488788596,0.37202681605289745,0.595749261818239
Gaussian Naive Bayes,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,{},0.1,0.732237397375892,0.7327553134351262,0.5025896796470363,0.18769252811806003,0.27331525140830376,0.5598824676584329
Gaussian Naive Bayes,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,{},0.15,0.732237397375892,0.7327169492825903,0.5015986699066377,0.28096568522100435,0.3601799981632841,0.589438911035829
Decision tree,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.732237397375892,0.7312207473336914,0.4949165547669288,0.18482699333763164,0.269142499478406,0.5579257697414064
Decision tree,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.732237397375892,0.7276912453003913,0.48484460928507483,0.27158105881510136,0.3481495086784829,0.5830307253575677
Decision tree,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.732237397375892,0.7271157830123532,0.47439094571264145,0.17716168779998567,0.2579803880659295,0.5526916028133609
Decision tree,01/01/2000 - 01/01/2013,01/01/2014 - 01/01/2015,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.732237397375892,0.7290531727154147,0.4681504221028396,0.08739881080306612,0.14729852097796556,0.5255452126474922
