model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.05,0.6969870199744435,0.7192649135785864,0.7228388832828793,0.11924314726445455,0.20471540843057873,0.549682846368272
ADA Boost,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.05,0.6969870199744435,0.7173818010626135,0.7040026908846283,0.11613583398069027,0.19938080495356036,0.5474537422424317
Random forest,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.6969870199744435,0.714422624251799,0.6744029599730912,0.11125291310620353,0.19099785663253155,0.543950864330397
Random forest,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.05,0.6969870199744435,0.714422624251799,0.6744029599730912,0.11125291310620353,0.19099785663253155,0.543950864330397
Logistic regression,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'C': 1.0, 'penalty': 'l2'}",0.05,0.6969870199744435,0.7138845921043783,0.669021190716448,0.1103651093108423,0.18947368421052632,0.5433139774372998
Logistic regression,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'C': 1.0, 'penalty': 'l1'}",0.05,0.6969870199744435,0.7138509650951644,0.6686848301379078,0.11030962157363222,0.18937842343415098,0.5432741720064812
ADA Boost,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.6969870199744435,0.7276380388728226,0.6532705565831511,0.21556985906114748,0.32416871792732277,0.5829139882462586
Gradient boosting,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.1,0.6969870199744435,0.7271672607438294,0.65091642845132,0.21479303074020642,0.32300054236722436,0.5823567122147986
Random forest,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.6969870199744435,0.7270327527069742,0.6502438204136539,0.2145710797913661,0.3226667779214819,0.5821974904915241
Random forest,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.1,0.6969870199744435,0.7263938395319121,0.6470489322347402,0.21351681278437465,0.32108139680420544,0.5814411873059713
Random forest,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.6969870199744435,0.736179299213128,0.6306467884766281,0.3121740095438908,0.41762238800430534,0.616344157278338
Random forest,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.6969870199744435,0.7360447911762728,0.6301984082501961,0.3119520585950505,0.41732546487028166,0.6161849355550636
ADA Boost,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.6969870199744435,0.7298910484901473,0.6096850128909315,0.30179780268560646,0.4037412314886983,0.6089005417152643
Gradient boosting,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.6969870199744435,0.7292185083058713,0.6074431117587714,0.30068804794140497,0.40225661581857997,0.6081044330988927
